species,lev_up,lev_low,lam,a_stein,e_up,e_low,g_up,g_low
H2O,0_1_0|10_10_1,0_1_0|9_9_0,19.88336,64.8,6470.45703,5746.84912,63,57.0
H2O,0_1_0|10_10_0,0_1_0|9_9_1,19.88336,64.82,6470.45703,5746.84912,21,19.0
H2O,0_0_0|11_10_1,0_0_0|10_9_2,19.93728,58.2,4277.23584,3555.58447,69,63.0
H2O,0_0_0|11_10_2,0_0_0|10_9_1,19.93729,58.19,4277.23584,3555.58496,23,21.0
H2O,0_2_0|10_8_2,0_2_0|9_7_3,20.03671,45.7,8242.26367,7524.19336,21,19.0
H2O,0_2_0|10_8_3,0_2_0|9_7_2,20.03678,45.7,8242.26465,7524.19727,63,57.0
H2O,0_1_0|11_8_3,0_1_0|10_7_4,20.19121,41.0,6137.78711,5425.21143,69,63.0
H2O,0_1_0|11_8_4,0_1_0|10_7_3,20.19184,41.01,6137.78418,5425.23096,23,21.0
H2O,0_1_0|10_9_2,0_1_0|9_8_1,20.46975,51.22,6101.76904,5398.88916,63,57.0
H2O,0_1_0|10_9_1,0_1_0|9_8_2,20.46976,51.23,6101.76953,5398.88965,21,19.0
H2O,0_2_0|9_9_0,0_2_0|8_8_1,20.47305,55.62,8272.84961,7570.0835,57,51.0
H2O,0_2_0|9_9_1,0_2_0|8_8_0,20.47305,55.62,8272.84766,7570.08203,19,17.0
H2O,0_0_0|11_9_2,0_0_0|10_8_3,20.57033,45.82,3942.854,3243.41113,69,63.0
H2O,0_0_0|11_9_3,0_0_0|10_8_2,20.57035,45.82,3942.854,3243.41187,23,21.0
H2O,0_0_0|10_10_0,0_0_0|9_9_1,20.98991,55.94,3887.41455,3201.95312,21,19.0
H2O,0_0_0|10_10_1,0_0_0|9_9_0,20.98991,55.95,3887.41479,3201.95337,63,57.0
H2O,0_2_0|9_8_1,0_2_0|8_7_2,21.08099,44.07,7889.27832,7206.7793,57,51.0
H2O,0_2_0|9_8_2,0_2_0|8_7_1,21.081,44.08,7889.2793,7206.77979,19,17.0
H2O,0_0_0|24_3_22,0_0_0|23_2_21,21.08388,46.31,9404.48145,8722.0752,147,141.0
H2O,0_1_0|10_8_2,0_1_0|9_7_3,21.23667,39.16,5751.52246,5074.02637,21,19.0
H2O,0_1_0|10_8_3,0_1_0|9_7_2,21.2368,39.16,5751.52197,5074.02979,63,57.0
H2O,0_0_0|11_8_3,0_0_0|10_7_4,21.37117,34.86,3628.97656,2955.74414,69,63.0
H2O,0_0_0|11_8_4,0_0_0|10_7_3,21.37241,34.86,3628.97119,2955.77783,23,21.0
H2O,0_1_0|9_9_0,0_1_0|8_8_1,21.58416,49.35,5746.84912,5080.25977,57,51.0
H2O,0_1_0|9_9_1,0_1_0|8_8_0,21.58416,49.35,5746.84912,5080.25977,19,17.0
H2O,0_0_0|10_9_1,0_0_0|9_8_2,21.67081,43.8,3555.58496,2891.66089,21,19.0
H2O,0_0_0|10_9_2,0_0_0|9_8_1,21.67082,43.8,3555.58423,2891.66089,63,57.0
H2O,0_0_0|24_2_23,0_0_0|23_1_22,21.77312,46.1,8845.28906,8184.48584,147,141.0
H2O,0_0_0|24_1_23,0_0_0|23_2_22,21.77313,46.12,8845.28906,8184.48584,49,47.0
H2O,0_0_0|25_0_25,0_0_0|24_1_24,21.79819,50.21,8880.13574,8220.09082,153,147.0
H2O,0_0_0|25_1_25,0_0_0|24_0_24,21.79819,50.21,8880.13574,8220.09082,51,49.0
H2O,0_0_0|23_3_21,0_0_0|22_2_20,21.84173,41.11,8722.07617,8063.34717,47,45.0
H2O,0_0_0|23_2_21,0_0_0|22_3_20,21.84184,41.12,8722.0752,8063.35107,141,135.0
H2O,0_2_0|8_8_0,0_2_0|7_7_1,22.25787,42.73,7570.0835,6923.67139,17,15.0
H2O,0_2_0|8_8_1,0_2_0|7_7_0,22.25787,42.72,7570.0835,6923.67139,51,45.0
H2O,0_1_0|9_8_1,0_1_0|8_7_2,22.41544,37.46,5398.88916,4757.02051,57,51.0
H2O,0_1_0|9_8_2,0_1_0|8_7_1,22.41545,37.46,5398.88965,4757.021,19,17.0
H2O,0_0_0|10_8_2,0_0_0|9_7_3,22.5377,33.17,3243.41162,2605.02515,21,19.0
H2O,0_0_0|10_8_3,0_0_0|9_7_2,22.53796,33.15,3243.41113,2605.03174,63,57.0
H2O,0_0_0|23_2_22,0_0_0|22_1_21,22.60282,40.9,8184.48584,7547.9375,47,45.0
H2O,0_0_0|23_1_22,0_0_0|22_2_21,22.60283,42.32,8184.48486,7547.9375,141,135.0
H2O,0_0_0|24_1_24,0_0_0|23_0_23,22.63061,46.48,8220.09082,7584.32471,147,141.0
H2O,0_0_0|24_0_24,0_0_0|23_1_23,22.63061,44.72,8220.09082,7584.32471,49,47.0
H2O,0_0_0|22_3_20,0_0_0|21_2_19,22.66399,37.36,8063.35107,7428.52051,135,129.0
H2O,0_0_0|22_2_20,0_0_0|21_3_19,22.66443,36.27,8063.34717,7428.53125,45,43.0
H2O,0_0_0|9_9_0,0_0_0|8_8_1,22.91337,41.95,3201.95337,2574.0332,57,51.0
H2O,0_0_0|9_9_1,0_0_0|8_8_0,22.91338,41.96,3201.95312,2574.0332,19,17.0
H2O,0_1_0|9_7_2,0_1_0|8_6_3,23.50156,27.21,5074.02979,4461.82471,57,51.0
H2O,0_0_0|23_1_23,0_0_0|22_0_22,23.53634,40.98,7584.3252,6973.02539,47,45.0
H2O,0_0_0|23_0_23,0_0_0|22_1_22,23.53631,39.05,7584.32471,6973.02393,141,135.0
H2O,0_1_0|9_7_3,0_1_0|8_6_2,23.50272,27.22,5074.02637,4461.85156,19,17.0
H2O,0_0_0|21_3_19,0_0_0|20_2_18,23.55901,31.26,7428.53125,6817.81836,43,41.0
H2O,0_0_0|21_2_19,0_0_0|20_3_18,23.56004,31.26,7428.52051,6817.83643,129,123.0
H2O,0_1_0|8_8_0,0_1_0|7_7_1,23.75038,35.98,5080.25977,4474.46875,17,15.0
H2O,0_1_0|8_8_1,0_1_0|7_7_0,23.75038,35.98,5080.25977,4474.46875,51,45.0
H2O,0_0_0|9_8_1,0_0_0|8_7_2,23.8598,31.55,2891.66113,2288.64795,57,51.0
H2O,0_0_0|9_8_2,0_0_0|8_7_1,23.85984,31.55,2891.66064,2288.64893,19,17.0
H2O,0_0_0|21_1_20,0_0_0|20_2_19,24.49023,31.08,6935.8291,6348.33936,129,123.0
H2O,0_0_0|22_0_22,0_0_0|21_1_21,24.52505,34.39,6973.02393,6386.36768,45,43.0
H2O,0_0_0|22_1_22,0_0_0|21_0_21,24.52505,34.39,6973.02393,6386.36768,135,129.0
H2O,0_0_0|21_2_20,0_0_0|20_1_19,24.49024,31.08,6935.8291,6348.33936,43,41.0
H2O,0_0_0|20_3_18,0_0_0|19_2_17,24.53588,27.19,6817.83643,6231.43896,123,117.0
H2O,0_0_0|20_2_18,0_0_0|19_3_17,24.53788,27.17,6817.81836,6231.46924,41,39.0
H2O,0_1_0|8_7_1,0_1_0|7_6_2,24.94607,25.9,4757.021,4180.2666,17,15.0
H2O,0_1_0|8_7_2,0_1_0|7_6_1,24.94627,25.9,4757.02051,4180.27051,51,45.0
H2O,0_0_0|9_7_2,0_0_0|8_6_3,25.06413,22.72,2605.03174,2030.99402,57,51.0
H2O,0_0_0|9_7_3,0_0_0|8_6_2,25.06634,22.73,2605.02515,2031.03748,19,17.0
H2O,0_0_0|8_8_0,0_0_0|7_7_1,25.36599,30.11,2574.03345,2006.82629,17,15.0
H2O,0_0_0|8_8_1,0_0_0|7_7_0,25.36599,30.11,2574.0332,2006.82629,51,45.0
H2O,0_0_0|20_1_19,0_0_0|19_2_18,25.56899,27.03,6348.33984,5785.63574,41,39.0
H2O,0_0_0|20_2_19,0_0_0|19_1_18,25.56899,27.03,6348.33984,5785.63574,123,117.0
